"Soort bromfiets";"Perioden";"Regio's";"Voertuigen met bromfietskenteken (aantal)";"Voertuigen per 1000 inwoners (aantal)"
"Voertuigen met bromfietskenteken";"2013";"Brunssum";"2306";"79"
"Voertuigen met bromfietskenteken";"2014";"Brunssum";"2353";"81"
"Voertuigen met bromfietskenteken";"2015";"Brunssum";"2369";"83"
"Voertuigen met bromfietskenteken";"2016";"Brunssum";"2398";"84"
"Voertuigen met bromfietskenteken";"2017";"Brunssum";"2455";"87"
"Voertuigen met bromfietskenteken";"2007";"Bunnik";"455";"32"
"Voertuigen met bromfietskenteken";"2008";"Bunnik";"517";"36"
"Voertuigen met bromfietskenteken";"2009";"Bunnik";"606";"42"
"Voertuigen met bromfietskenteken";"2010";"Bunnik";"678";"47"
"Voertuigen met bromfietskenteken";"2011";"Bunnik";"678";"47"
"Voertuigen met bromfietskenteken";"2012";"Bunnik";"703";"49"
"Voertuigen met bromfietskenteken";"2013";"Bunnik";"735";"50"
"Voertuigen met bromfietskenteken";"2014";"Bunnik";"727";"50"
"Voertuigen met bromfietskenteken";"2015";"Bunnik";"723";"49"
"Voertuigen met bromfietskenteken";"2016";"Bunnik";"720";"49"
"Voertuigen met bromfietskenteken";"2017";"Bunnik";"761";"50"
"Voertuigen met bromfietskenteken";"2007";"Bunschoten";"1362";"70"
"Voertuigen met bromfietskenteken";"2008";"Bunschoten";"1468";"75"
"Voertuigen met bromfietskenteken";"2009";"Bunschoten";"1610";"82"
"Voertuigen met bromfietskenteken";"2010";"Bunschoten";"1731";"87"
"Voertuigen met bromfietskenteken";"2011";"Bunschoten";"1786";"89"
"Voertuigen met bromfietskenteken";"2012";"Bunschoten";"1837";"91"
"Voertuigen met bromfietskenteken";"2013";"Bunschoten";"1897";"93"
"Voertuigen met bromfietskenteken";"2014";"Bunschoten";"1917";"94"
"Voertuigen met bromfietskenteken";"2015";"Bunschoten";"1951";"94"
"Voertuigen met bromfietskenteken";"2016";"Bunschoten";"1922";"92"
"Voertuigen met bromfietskenteken";"2017";"Bunschoten";"1910";"91"
"Voertuigen met bromfietskenteken";"2007";"Buren";"1645";"64"
"Voertuigen met bromfietskenteken";"2008";"Buren";"1630";"63"
"Voertuigen met bromfietskenteken";"2009";"Buren";"1788";"70"
"Voertuigen met bromfietskenteken";"2010";"Buren";"1907";"74"
"Voertuigen met bromfietskenteken";"2011";"Buren";"2044";"79"
"Voertuigen met bromfietskenteken";"2012";"Buren";"2021";"78"
"Voertuigen met bromfietskenteken";"2013";"Buren";"2013";"78"
"Voertuigen met bromfietskenteken";"2014";"Buren";"2029";"78"
"Voertuigen met bromfietskenteken";"2015";"Buren";"2067";"79"
"Voertuigen met bromfietskenteken";"2016";"Buren";"2174";"83"
"Voertuigen met bromfietskenteken";"2017";"Buren";"2196";"83"
"Voertuigen met bromfietskenteken";"2007";"Bussum";"972";"31"
"Voertuigen met bromfietskenteken";"2008";"Bussum";"1045";"33"
"Voertuigen met bromfietskenteken";"2009";"Bussum";"1184";"37"
"Voertuigen met bromfietskenteken";"2010";"Bussum";"1362";"42"
"Voertuigen met bromfietskenteken";"2011";"Bussum";"1513";"47"
"Voertuigen met bromfietskenteken";"2012";"Bussum";"1625";"50"
"Voertuigen met bromfietskenteken";"2013";"Bussum";"1686";"52"
"Voertuigen met bromfietskenteken";"2014";"Bussum";"1670";"51"
"Voertuigen met bromfietskenteken";"2015";"Bussum";"1687";"51"
"Voertuigen met bromfietskenteken";"2016";"Bussum";"";""
"Voertuigen met bromfietskenteken";"2017";"Bussum";"";""
"Voertuigen met bromfietskenteken";"2007";"Capelle aan den IJssel";"2067";"32"
"Voertuigen met bromfietskenteken";"2008";"Capelle aan den IJssel";"2412";"37"
"Voertuigen met bromfietskenteken";"2009";"Capelle aan den IJssel";"2771";"42"
"Voertuigen met bromfietskenteken";"2010";"Capelle aan den IJssel";"3114";"48"
"Voertuigen met bromfietskenteken";"2011";"Capelle aan den IJssel";"3425";"52"
"Voertuigen met bromfietskenteken";"2012";"Capelle aan den IJssel";"3660";"55"
"Voertuigen met bromfietskenteken";"2013";"Capelle aan den IJssel";"3837";"58"
"Voertuigen met bromfietskenteken";"2014";"Capelle aan den IJssel";"3990";"60"
"Voertuigen met bromfietskenteken";"2015";"Capelle aan den IJssel";"4190";"63"
"Voertuigen met bromfietskenteken";"2016";"Capelle aan den IJssel";"4372";"66"
"Voertuigen met bromfietskenteken";"2017";"Capelle aan den IJssel";"4519";"68"
"Voertuigen met bromfietskenteken";"2007";"Castricum";"1122";"32"
"Voertuigen met bromfietskenteken";"2008";"Castricum";"1257";"36"
"Voertuigen met bromfietskenteken";"2009";"Castricum";"1443";"42"
"Voertuigen met bromfietskenteken";"2010";"Castricum";"1618";"47"
"Voertuigen met bromfietskenteken";"2011";"Castricum";"1767";"51"
"Voertuigen met bromfietskenteken";"2012";"Castricum";"1775";"52"
"Voertuigen met bromfietskenteken";"2013";"Castricum";"1872";"54"
"Voertuigen met bromfietskenteken";"2014";"Castricum";"1916";"56"
"Voertuigen met bromfietskenteken";"2015";"Castricum";"1961";"57"
"Voertuigen met bromfietskenteken";"2016";"Castricum";"2007";"58"
"Voertuigen met bromfietskenteken";"2017";"Castricum";"2123";"60"
"Voertuigen met bromfietskenteken";"2007";"Coevorden";"1242";"34"
"Voertuigen met bromfietskenteken";"2008";"Coevorden";"1317";"37"
"Voertuigen met bromfietskenteken";"2009";"Coevorden";"1439";"40"
"Voertuigen met bromfietskenteken";"2010";"Coevorden";"1554";"43"
"Voertuigen met bromfietskenteken";"2011";"Coevorden";"1708";"47"
"Voertuigen met bromfietskenteken";"2012";"Coevorden";"1763";"49"
"Voertuigen met bromfietskenteken";"2013";"Coevorden";"1768";"49"
"Voertuigen met bromfietskenteken";"2014";"Coevorden";"1805";"50"
"Voertuigen met bromfietskenteken";"2015";"Coevorden";"1879";"53"
"Voertuigen met bromfietskenteken";"2016";"Coevorden";"1946";"55"
"Voertuigen met bromfietskenteken";"2017";"Coevorden";"2051";"58"
"Voertuigen met bromfietskenteken";"2007";"Cranendonck";"1097";"54"
"Voertuigen met bromfietskenteken";"2008";"Cranendonck";"1147";"57"
"Voertuigen met bromfietskenteken";"2009";"Cranendonck";"1170";"58"
"Voertuigen met bromfietskenteken";"2010";"Cranendonck";"1250";"61"
"Voertuigen met bromfietskenteken";"2011";"Cranendonck";"1341";"66"
"Voertuigen met bromfietskenteken";"2012";"Cranendonck";"1414";"69"
"Voertuigen met bromfietskenteken";"2013";"Cranendonck";"1433";"70"
"Voertuigen met bromfietskenteken";"2014";"Cranendonck";"1457";"72"
"Voertuigen met bromfietskenteken";"2015";"Cranendonck";"1475";"72"
"Voertuigen met bromfietskenteken";"2016";"Cranendonck";"1479";"72"
"Voertuigen met bromfietskenteken";"2017";"Cranendonck";"1499";"72"
"Voertuigen met bromfietskenteken";"2007";"Cromstrijen";"541";"42"
"Voertuigen met bromfietskenteken";"2008";"Cromstrijen";"577";"45"
"Voertuigen met bromfietskenteken";"2009";"Cromstrijen";"630";"49"
"Voertuigen met bromfietskenteken";"2010";"Cromstrijen";"672";"52"
"Voertuigen met bromfietskenteken";"2011";"Cromstrijen";"689";"54"
"Voertuigen met bromfietskenteken";"2012";"Cromstrijen";"718";"56"
"Voertuigen met bromfietskenteken";"2013";"Cromstrijen";"737";"58"
"Voertuigen met bromfietskenteken";"2014";"Cromstrijen";"738";"58"
"Voertuigen met bromfietskenteken";"2015";"Cromstrijen";"768";"60"
"Voertuigen met bromfietskenteken";"2016";"Cromstrijen";"816";"64"
"Voertuigen met bromfietskenteken";"2017";"Cromstrijen";"819";"64"
"Voertuigen met bromfietskenteken";"2007";"Cuijk";"756";"31"
"Voertuigen met bromfietskenteken";"2008";"Cuijk";"823";"34"
"Voertuigen met bromfietskenteken";"2009";"Cuijk";"908";"37"
"Voertuigen met bromfietskenteken";"2010";"Cuijk";"1004";"41"
"Voertuigen met bromfietskenteken";"2011";"Cuijk";"1138";"46"
"Voertuigen met bromfietskenteken";"2012";"Cuijk";"1206";"49"
"Voertuigen met bromfietskenteken";"2013";"Cuijk";"1266";"51"
"Voertuigen met bromfietskenteken";"2014";"Cuijk";"1300";"52"
"Voertuigen met bromfietskenteken";"2015";"Cuijk";"1328";"54"
"Voertuigen met bromfietskenteken";"2016";"Cuijk";"1301";"53"
"Voertuigen met bromfietskenteken";"2017";"Cuijk";"1331";"54"
"Voertuigen met bromfietskenteken";"2007";"Culemborg";"808";"30"
"Voertuigen met bromfietskenteken";"2008";"Culemborg";"841";"31"
"Voertuigen met bromfietskenteken";"2009";"Culemborg";"899";"33"
"Voertuigen met bromfietskenteken";"2010";"Culemborg";"998";"36"
"Voertuigen met bromfietskenteken";"2011";"Culemborg";"1069";"39"
"Voertuigen met bromfietskenteken";"2012";"Culemborg";"1104";"40"
"Voertuigen met bromfietskenteken";"2013";"Culemborg";"1124";"41"
"Voertuigen met bromfietskenteken";"2014";"Culemborg";"1114";"40"
"Voertuigen met bromfietskenteken";"2015";"Culemborg";"1159";"42"
"Voertuigen met bromfietskenteken";"2016";"Culemborg";"1227";"44"
"Voertuigen met bromfietskenteken";"2017";"Culemborg";"1276";"46"
"Voertuigen met bromfietskenteken";"2007";"Dalfsen";"1253";"47"
"Voertuigen met bromfietskenteken";"2008";"Dalfsen";"1284";"48"
"Voertuigen met bromfietskenteken";"2009";"Dalfsen";"1442";"53"
"Voertuigen met bromfietskenteken";"2010";"Dalfsen";"1538";"56"
"Voertuigen met bromfietskenteken";"2011";"Dalfsen";"1639";"60"
"Voertuigen met bromfietskenteken";"2012";"Dalfsen";"1699";"62"
"Voertuigen met bromfietskenteken";"2013";"Dalfsen";"1723";"62"
"Voertuigen met bromfietskenteken";"2014";"Dalfsen";"1719";"62"
"Voertuigen met bromfietskenteken";"2015";"Dalfsen";"1712";"62"
"Voertuigen met bromfietskenteken";"2016";"Dalfsen";"1672";"60"
"Voertuigen met bromfietskenteken";"2017";"Dalfsen";"1632";"58"
"Voertuigen met bromfietskenteken";"2007";"Dantumadeel";"1103";"57"
"Voertuigen met bromfietskenteken";"2008";"Dantumadeel";"1148";"59"
"Voertuigen met bromfietskenteken";"2009";"Dantumadeel";"";""
"Voertuigen met bromfietskenteken";"2010";"Dantumadeel";"";""
"Voertuigen met bromfietskenteken";"2011";"Dantumadeel";"";""
"Voertuigen met bromfietskenteken";"2012";"Dantumadeel";"";""
"Voertuigen met bromfietskenteken";"2013";"Dantumadeel";"";""
"Voertuigen met bromfietskenteken";"2014";"Dantumadeel";"";""
"Voertuigen met bromfietskenteken";"2015";"Dantumadeel";"";""
"Voertuigen met bromfietskenteken";"2016";"Dantumadeel";"";""
"Voertuigen met bromfietskenteken";"2017";"Dantumadeel";"";""
"Voertuigen met bromfietskenteken";"2007";"Dantumadiel";"";""
"Voertuigen met bromfietskenteken";"2008";"Dantumadiel";"";""
"Voertuigen met bromfietskenteken";"2009";"Dantumadiel";"1219";"63"
"Voertuigen met bromfietskenteken";"2010";"Dantumadiel";"1292";"67"
"Voertuigen met bromfietskenteken";"2011";"Dantumadiel";"1368";"71"
"Voertuigen met bromfietskenteken";"2012";"Dantumadiel";"1422";"74"
"Voertuigen met bromfietskenteken";"2013";"Dantumadiel";"1464";"77"
"Voertuigen met bromfietskenteken";"2014";"Dantumadiel";"1509";"79"
"Voertuigen met bromfietskenteken";"2015";"Dantumadiel";"1498";"79"
"Voertuigen met bromfietskenteken";"2016";"Dantumadiel";"1516";"80"
"Voertuigen met bromfietskenteken";"2017";"Dantumadiel";"1554";"82"
"Voertuigen met bromfietskenteken";"2007";"Delft";"4339";"45"
"Voertuigen met bromfietskenteken";"2008";"Delft";"4985";"52"
"Voertuigen met bromfietskenteken";"2009";"Delft";"5595";"58"
"Voertuigen met bromfietskenteken";"2010";"Delft";"6016";"62"
"Voertuigen met bromfietskenteken";"2011";"Delft";"6435";"66"
"Voertuigen met bromfietskenteken";"2012";"Delft";"6687";"68"
"Voertuigen met bromfietskenteken";"2013";"Delft";"6723";"68"
"Voertuigen met bromfietskenteken";"2014";"Delft";"6719";"67"
"Voertuigen met bromfietskenteken";"2015";"Delft";"6778";"67"
"Voertuigen met bromfietskenteken";"2016";"Delft";"6819";"67"
"Voertuigen met bromfietskenteken";"2017";"Delft";"6843";"67"
"Voertuigen met bromfietskenteken";"2007";"Delfzijl";"1117";"40"
"Voertuigen met bromfietskenteken";"2008";"Delfzijl";"1209";"44"
"Voertuigen met bromfietskenteken";"2009";"Delfzijl";"1250";"47"
"Voertuigen met bromfietskenteken";"2010";"Delfzijl";"1271";"48"
"Voertuigen met bromfietskenteken";"2011";"Delfzijl";"1327";"50"
"Voertuigen met bromfietskenteken";"2012";"Delfzijl";"1343";"51"
"Voertuigen met bromfietskenteken";"2013";"Delfzijl";"1335";"51"
"Voertuigen met bromfietskenteken";"2014";"Delfzijl";"1329";"52"
"Voertuigen met bromfietskenteken";"2015";"Delfzijl";"1393";"55"
"Voertuigen met bromfietskenteken";"2016";"Delfzijl";"1426";"57"
"Voertuigen met bromfietskenteken";"2017";"Delfzijl";"1419";"57"
"Voertuigen met bromfietskenteken";"2007";"Deurne";"1889";"59"
"Voertuigen met bromfietskenteken";"2008";"Deurne";"1974";"62"
"Voertuigen met bromfietskenteken";"2009";"Deurne";"2156";"69"
"Voertuigen met bromfietskenteken";"2010";"Deurne";"2217";"70"
"Voertuigen met bromfietskenteken";"2011";"Deurne";"2393";"76"
"Voertuigen met bromfietskenteken";"2012";"Deurne";"2470";"78"
"Voertuigen met bromfietskenteken";"2013";"Deurne";"2489";"78"
"Voertuigen met bromfietskenteken";"2014";"Deurne";"2574";"81"
"Voertuigen met bromfietskenteken";"2015";"Deurne";"2619";"82"
"Voertuigen met bromfietskenteken";"2016";"Deurne";"2650";"83"
"Voertuigen met bromfietskenteken";"2017";"Deurne";"2730";"85"
"Voertuigen met bromfietskenteken";"2007";"Deventer";"4490";"46"
"Voertuigen met bromfietskenteken";"2008";"Deventer";"4949";"51"
"Voertuigen met bromfietskenteken";"2009";"Deventer";"5575";"57"
"Voertuigen met bromfietskenteken";"2010";"Deventer";"5981";"61"
"Voertuigen met bromfietskenteken";"2011";"Deventer";"6262";"63"
"Voertuigen met bromfietskenteken";"2012";"Deventer";"6421";"65"
"Voertuigen met bromfietskenteken";"2013";"Deventer";"6389";"65"
"Voertuigen met bromfietskenteken";"2014";"Deventer";"6402";"65"
"Voertuigen met bromfietskenteken";"2015";"Deventer";"6527";"66"
"Voertuigen met bromfietskenteken";"2016";"Deventer";"6566";"66"
"Voertuigen met bromfietskenteken";"2017";"Deventer";"6694";"67"
"Voertuigen met bromfietskenteken";"2007";"Diemen";"1045";"44"
"Voertuigen met bromfietskenteken";"2008";"Diemen";"1279";"53"
"Voertuigen met bromfietskenteken";"2009";"Diemen";"1557";"64"
"Voertuigen met bromfietskenteken";"2010";"Diemen";"1792";"73"
"Voertuigen met bromfietskenteken";"2011";"Diemen";"2004";"80"
"Voertuigen met bromfietskenteken";"2012";"Diemen";"2129";"86"
"Voertuigen met bromfietskenteken";"2013";"Diemen";"2203";"87"
"Voertuigen met bromfietskenteken";"2014";"Diemen";"2325";"90"
"Voertuigen met bromfietskenteken";"2015";"Diemen";"2445";"92"
"Voertuigen met bromfietskenteken";"2016";"Diemen";"2589";"96"
"Voertuigen met bromfietskenteken";"2017";"Diemen";"2661";"98"
"Voertuigen met bromfietskenteken";"2007";"Dinkelland";"968";"37"
"Voertuigen met bromfietskenteken";"2008";"Dinkelland";"1091";"42"
"Voertuigen met bromfietskenteken";"2009";"Dinkelland";"1245";"48"
"Voertuigen met bromfietskenteken";"2010";"Dinkelland";"1375";"53"
"Voertuigen met bromfietskenteken";"2011";"Dinkelland";"1498";"57"
"Voertuigen met bromfietskenteken";"2012";"Dinkelland";"1606";"62"
"Voertuigen met bromfietskenteken";"2013";"Dinkelland";"1758";"67"
"Voertuigen met bromfietskenteken";"2014";"Dinkelland";"1842";"71"
"Voertuigen met bromfietskenteken";"2015";"Dinkelland";"1922";"74"
"Voertuigen met bromfietskenteken";"2016";"Dinkelland";"1875";"72"
"Voertuigen met bromfietskenteken";"2017";"Dinkelland";"1887";"72"
"Voertuigen met bromfietskenteken";"2007";"Dirksland";"318";"38"
"Voertuigen met bromfietskenteken";"2008";"Dirksland";"328";"39"
"Voertuigen met bromfietskenteken";"2009";"Dirksland";"353";"42"
"Voertuigen met bromfietskenteken";"2010";"Dirksland";"373";"44"
"Voertuigen met bromfietskenteken";"2011";"Dirksland";"413";"49"
"Voertuigen met bromfietskenteken";"2012";"Dirksland";"427";"50"
"Voertuigen met bromfietskenteken";"2013";"Dirksland";"";""
"Voertuigen met bromfietskenteken";"2014";"Dirksland";"";""
"Voertuigen met bromfietskenteken";"2015";"Dirksland";"";""
"Voertuigen met bromfietskenteken";"2016";"Dirksland";"";""
"Voertuigen met bromfietskenteken";"2017";"Dirksland";"";""
"Voertuigen met bromfietskenteken";"2007";"Doesburg";"437";"38"
"Voertuigen met bromfietskenteken";"2008";"Doesburg";"519";"45"
"Voertuigen met bromfietskenteken";"2009";"Doesburg";"562";"49"
"Voertuigen met bromfietskenteken";"2010";"Doesburg";"610";"53"
"Voertuigen met bromfietskenteken";"2011";"Doesburg";"668";"57"
"Voertuigen met bromfietskenteken";"2012";"Doesburg";"676";"58"
"Voertuigen met bromfietskenteken";"2013";"Doesburg";"700";"61"
"Voertuigen met bromfietskenteken";"2014";"Doesburg";"670";"59"
"Voertuigen met bromfietskenteken";"2015";"Doesburg";"676";"60"
"Voertuigen met bromfietskenteken";"2016";"Doesburg";"756";"67"
"Voertuigen met bromfietskenteken";"2017";"Doesburg";"782";"69"
"Voertuigen met bromfietskenteken";"2007";"Doetinchem";"1943";"35"
"Voertuigen met bromfietskenteken";"2008";"Doetinchem";"2011";"36"
"Voertuigen met bromfietskenteken";"2009";"Doetinchem";"2071";"37"
"Voertuigen met bromfietskenteken";"2010";"Doetinchem";"2278";"41"
"Voertuigen met bromfietskenteken";"2011";"Doetinchem";"2530";"45"
"Voertuigen met bromfietskenteken";"2012";"Doetinchem";"2672";"47"
"Voertuigen met bromfietskenteken";"2013";"Doetinchem";"2893";"51"
"Voertuigen met bromfietskenteken";"2014";"Doetinchem";"3088";"55"
"Voertuigen met bromfietskenteken";"2015";"Doetinchem";"3158";"56"
"Voertuigen met bromfietskenteken";"2016";"Doetinchem";"3315";"58"
"Voertuigen met bromfietskenteken";"2017";"Doetinchem";"3461";"61"
"Voertuigen met bromfietskenteken";"2007";"Dongen";"1072";"42"
"Voertuigen met bromfietskenteken";"2008";"Dongen";"1123";"44"
"Voertuigen met bromfietskenteken";"2009";"Dongen";"1219";"48"
"Voertuigen met bromfietskenteken";"2010";"Dongen";"1332";"53"
"Voertuigen met bromfietskenteken";"2011";"Dongen";"1380";"55"
"Voertuigen met bromfietskenteken";"2012";"Dongen";"1395";"55"
"Voertuigen met bromfietskenteken";"2013";"Dongen";"1524";"60"
"Voertuigen met bromfietskenteken";"2014";"Dongen";"1557";"61"
"Voertuigen met bromfietskenteken";"2015";"Dongen";"1583";"62"
"Voertuigen met bromfietskenteken";"2016";"Dongen";"1601";"63"
"Voertuigen met bromfietskenteken";"2017";"Dongen";"1581";"62"
"Voertuigen met bromfietskenteken";"2007";"Dongeradeel";"1309";"53"
"Voertuigen met bromfietskenteken";"2008";"Dongeradeel";"1429";"58"
"Voertuigen met bromfietskenteken";"2009";"Dongeradeel";"1628";"66"
"Voertuigen met bromfietskenteken";"2010";"Dongeradeel";"1535";"63"
"Voertuigen met bromfietskenteken";"2011";"Dongeradeel";"1593";"66"
"Voertuigen met bromfietskenteken";"2012";"Dongeradeel";"1583";"65"
"Voertuigen met bromfietskenteken";"2013";"Dongeradeel";"1576";"65"
"Voertuigen met bromfietskenteken";"2014";"Dongeradeel";"1568";"65"
"Voertuigen met bromfietskenteken";"2015";"Dongeradeel";"1610";"67"
"Voertuigen met bromfietskenteken";"2016";"Dongeradeel";"1595";"67"
"Voertuigen met bromfietskenteken";"2017";"Dongeradeel";"1654";"69"
"Voertuigen met bromfietskenteken";"2007";"Dordrecht";"4742";"40"
"Voertuigen met bromfietskenteken";"2008";"Dordrecht";"5398";"46"
"Voertuigen met bromfietskenteken";"2009";"Dordrecht";"6222";"53"
"Voertuigen met bromfietskenteken";"2010";"Dordrecht";"6950";"59"
"Voertuigen met bromfietskenteken";"2011";"Dordrecht";"7541";"63"
"Voertuigen met bromfietskenteken";"2012";"Dordrecht";"7919";"67"
"Voertuigen met bromfietskenteken";"2013";"Dordrecht";"8208";"69"
"Voertuigen met bromfietskenteken";"2014";"Dordrecht";"8343";"70"
"Voertuigen met bromfietskenteken";"2015";"Dordrecht";"8486";"71"
"Voertuigen met bromfietskenteken";"2016";"Dordrecht";"8603";"72"
"Voertuigen met bromfietskenteken";"2017";"Dordrecht";"8861";"75"
"Voertuigen met bromfietskenteken";"2007";"Drechterland";"821";"44"
"Voertuigen met bromfietskenteken";"2008";"Drechterland";"897";"48"
"Voertuigen met bromfietskenteken";"2009";"Drechterland";"992";"52"
"Voertuigen met bromfietskenteken";"2010";"Drechterland";"1112";"58"
"Voertuigen met bromfietskenteken";"2011";"Drechterland";"1204";"62"
"Voertuigen met bromfietskenteken";"2012";"Drechterland";"1174";"61"
"Voertuigen met bromfietskenteken";"2013";"Drechterland";"1168";"61"
"Voertuigen met bromfietskenteken";"2014";"Drechterland";"1172";"61"
"Voertuigen met bromfietskenteken";"2015";"Drechterland";"1187";"62"
"Voertuigen met bromfietskenteken";"2016";"Drechterland";"1200";"62"
"Voertuigen met bromfietskenteken";"2017";"Drechterland";"1261";"65"
"Voertuigen met bromfietskenteken";"2007";"Drimmelen";"1184";"45"
"Voertuigen met bromfietskenteken";"2008";"Drimmelen";"1241";"47"
"Voertuigen met bromfietskenteken";"2009";"Drimmelen";"1308";"49"
"Voertuigen met bromfietskenteken";"2010";"Drimmelen";"1353";"51"
"Voertuigen met bromfietskenteken";"2011";"Drimmelen";"1405";"53"
"Voertuigen met bromfietskenteken";"2012";"Drimmelen";"1443";"54"
"Voertuigen met bromfietskenteken";"2013";"Drimmelen";"1413";"53"
"Voertuigen met bromfietskenteken";"2014";"Drimmelen";"1433";"54"
"Voertuigen met bromfietskenteken";"2015";"Drimmelen";"1501";"56"
"Voertuigen met bromfietskenteken";"2016";"Drimmelen";"1544";"58"
"Voertuigen met bromfietskenteken";"2017";"Drimmelen";"1541";"57"
"Voertuigen met bromfietskenteken";"2007";"Dronten";"860";"23"
"Voertuigen met bromfietskenteken";"2008";"Dronten";"1036";"27"
"Voertuigen met bromfietskenteken";"2009";"Dronten";"1218";"31"
"Voertuigen met bromfietskenteken";"2010";"Dronten";"1405";"35"
"Voertuigen met bromfietskenteken";"2011";"Dronten";"1534";"38"
"Voertuigen met bromfietskenteken";"2012";"Dronten";"1529";"38"
"Voertuigen met bromfietskenteken";"2013";"Dronten";"1527";"38"
"Voertuigen met bromfietskenteken";"2014";"Dronten";"1571";"39"
"Voertuigen met bromfietskenteken";"2015";"Dronten";"1646";"41"
"Voertuigen met bromfietskenteken";"2016";"Dronten";"1698";"42"
"Voertuigen met bromfietskenteken";"2017";"Dronten";"1774";"44"
"Voertuigen met bromfietskenteken";"2007";"Druten";"742";"41"
"Voertuigen met bromfietskenteken";"2008";"Druten";"799";"44"
"Voertuigen met bromfietskenteken";"2009";"Druten";"916";"51"
"Voertuigen met bromfietskenteken";"2010";"Druten";"980";"54"
"Voertuigen met bromfietskenteken";"2011";"Druten";"1048";"58"
"Voertuigen met bromfietskenteken";"2012";"Druten";"1130";"62"
"Voertuigen met bromfietskenteken";"2013";"Druten";"1143";"63"
"Voertuigen met bromfietskenteken";"2014";"Druten";"1170";"64"
"Voertuigen met bromfietskenteken";"2015";"Druten";"1176";"64"
"Voertuigen met bromfietskenteken";"2016";"Druten";"1181";"64"
"Voertuigen met bromfietskenteken";"2017";"Druten";"1189";"64"
"Voertuigen met bromfietskenteken";"2007";"Duiven";"1172";"46"
"Voertuigen met bromfietskenteken";"2008";"Duiven";"1267";"50"
"Voertuigen met bromfietskenteken";"2009";"Duiven";"1405";"55"
"Voertuigen met bromfietskenteken";"2010";"Duiven";"1568";"61"
"Voertuigen met bromfietskenteken";"2011";"Duiven";"1691";"66"
"Voertuigen met bromfietskenteken";"2012";"Duiven";"1674";"66"
"Voertuigen met bromfietskenteken";"2013";"Duiven";"1661";"65"
"Voertuigen met bromfietskenteken";"2014";"Duiven";"1637";"64"
"Voertuigen met bromfietskenteken";"2015";"Duiven";"1670";"65"
"Voertuigen met bromfietskenteken";"2016";"Duiven";"1664";"65"
"Voertuigen met bromfietskenteken";"2017";"Duiven";"1653";"65"
"Voertuigen met bromfietskenteken";"2007";"Echt-Susteren";"1385";"43"
"Voertuigen met bromfietskenteken";"2008";"Echt-Susteren";"1429";"44"
"Voertuigen met bromfietskenteken";"2009";"Echt-Susteren";"1500";"47"
"Voertuigen met bromfietskenteken";"2010";"Echt-Susteren";"1609";"50"
"Voertuigen met bromfietskenteken";"2011";"Echt-Susteren";"1766";"55"
"Voertuigen met bromfietskenteken";"2012";"Echt-Susteren";"1882";"59"
"Voertuigen met bromfietskenteken";"2013";"Echt-Susteren";"1956";"61"
"Voertuigen met bromfietskenteken";"2014";"Echt-Susteren";"2022";"63"
"Voertuigen met bromfietskenteken";"2015";"Echt-Susteren";"2063";"65"
"Voertuigen met bromfietskenteken";"2016";"Echt-Susteren";"2169";"68"
"Voertuigen met bromfietskenteken";"2017";"Echt-Susteren";"2255";"71"
"Voertuigen met bromfietskenteken";"2007";"Edam-Volendam";"1337";"47"
"Voertuigen met bromfietskenteken";"2008";"Edam-Volendam";"1463";"51"
"Voertuigen met bromfietskenteken";"2009";"Edam-Volendam";"1632";"57"
"Voertuigen met bromfietskenteken";"2010";"Edam-Volendam";"1766";"62"
"Voertuigen met bromfietskenteken";"2011";"Edam-Volendam";"1908";"67"
"Voertuigen met bromfietskenteken";"2012";"Edam-Volendam";"1928";"67"
"Voertuigen met bromfietskenteken";"2013";"Edam-Volendam";"1957";"68"
"Voertuigen met bromfietskenteken";"2014";"Edam-Volendam";"2034";"70"
"Voertuigen met bromfietskenteken";"2015";"Edam-Volendam";"2153";"74"
"Voertuigen met bromfietskenteken";"2016";"Edam-Volendam";"2716";"77"
"Voertuigen met bromfietskenteken";"2017";"Edam-Volendam";"2847";"80"
"Voertuigen met bromfietskenteken";"2007";"Ede";"5027";"47"
"Voertuigen met bromfietskenteken";"2008";"Ede";"5281";"49"
"Voertuigen met bromfietskenteken";"2009";"Ede";"5757";"53"
"Voertuigen met bromfietskenteken";"2010";"Ede";"6159";"57"
"Voertuigen met bromfietskenteken";"2011";"Ede";"6624";"61"
"Voertuigen met bromfietskenteken";"2012";"Ede";"6862";"63"
"Voertuigen met bromfietskenteken";"2013";"Ede";"7002";"64"
"Voertuigen met bromfietskenteken";"2014";"Ede";"7058";"64"
"Voertuigen met bromfietskenteken";"2015";"Ede";"7280";"65"
"Voertuigen met bromfietskenteken";"2016";"Ede";"7265";"65"
"Voertuigen met bromfietskenteken";"2017";"Ede";"7440";"66"
"Voertuigen met bromfietskenteken";"2007";"Eemnes";"539";"61"
"Voertuigen met bromfietskenteken";"2008";"Eemnes";"607";"68"
"Voertuigen met bromfietskenteken";"2009";"Eemnes";"663";"75"
"Voertuigen met bromfietskenteken";"2010";"Eemnes";"709";"80"
"Voertuigen met bromfietskenteken";"2011";"Eemnes";"762";"86"
"Voertuigen met bromfietskenteken";"2012";"Eemnes";"788";"89"
"Voertuigen met bromfietskenteken";"2013";"Eemnes";"812";"92"
"Voertuigen met bromfietskenteken";"2014";"Eemnes";"817";"93"
